Date,Open,High,Low,Close,Adj Close,Volume,MA_20,MA_50,SHORT_GR_LONG,Signal,Buy & Sell
2019-08-05,491.5,494.5,483.29998779296875,487.1499938964844,485.7165832519531,2996132,488.09749908447264,464.25599975585936,1,,NULL
2019-08-06,485.04998779296875,518.0,485.04998779296875,512.0999755859375,510.5931396484375,5029677,490.91499786376954,466.04599914550784,1,0.0,NULL
2019-08-07,517.0,524.7999877929688,511.1000061035156,518.0999755859375,516.5755004882812,4417521,494.0324966430664,467.90899841308595,1,0.0,NULL
2019-08-08,541.4000244140625,545.5499877929688,516.2999877929688,522.9000244140625,521.3614501953125,10168512,496.7874984741211,469.8539990234375,1,0.0,NULL
2019-08-09,524.2999877929688,535.4000244140625,524.2999877929688,526.75,525.2000732421875,2861762,499.0374984741211,471.6769989013672,1,0.0,NULL
2019-08-13,529.7000122070312,537.0,516.0,519.3499755859375,517.8218383789062,3543626,500.4499969482422,473.23099853515623,1,0.0,NULL
2019-08-14,487.5,540.5499877929688,481.25,517.0,515.478759765625,31957442,501.74749755859375,474.69099853515627,1,0.0,NULL
2019-08-16,515.0,543.0,513.5999755859375,540.1500244140625,538.5606689453125,11397991,503.89749908447266,476.6399987792969,1,0.0,NULL
2019-08-19,545.7000122070312,560.0,520.0,524.5499877929688,523.0065307617188,13762429,504.94749908447267,478.28599853515624,1,0.0,NULL
2019-08-20,526.0,532.9000244140625,516.5999755859375,527.9000244140625,526.3466796875,10083216,506.9625,479.8159991455078,1,0.0,NULL
2019-08-21,530.0,539.0,525.0999755859375,530.7000122070312,529.138427734375,6505412,508.96500091552736,481.42699951171875,1,0.0,NULL
2019-08-22,533.9500122070312,538.3499755859375,525.4000244140625,528.4500122070312,526.8950805664062,5344682,509.96000213623046,483.09,1,0.0,NULL
2019-08-23,530.0,531.7999877929688,512.75,517.2000122070312,515.6781616210938,4611285,510.8425033569336,484.615,1,0.0,NULL
2019-08-26,529.75,536.7999877929688,517.0999755859375,526.4000244140625,524.8511352539062,4813908,512.1025039672852,486.1030004882812,1,0.0,NULL
2019-08-27,535.0,569.75,534.0,555.2000122070312,553.5663452148438,94765364,514.907504272461,488.2440008544922,1,0.0,NULL
2019-08-28,556.9000244140625,557.4000244140625,538.0999755859375,547.7000122070312,546.0884399414062,7523593,518.0250045776368,490.3310009765625,1,0.0,NULL
2019-08-29,544.25,549.75,540.0,541.7000122070312,540.1060791015625,2790568,520.9550048828125,492.3310009765625,1,0.0,NULL
2019-08-30,542.0,559.4000244140625,542.0,557.1500244140625,555.5106201171875,4299020,524.1375061035156,494.7310015869141,1,0.0,NULL
2019-09-03,551.4000244140625,556.9500122070312,535.0,536.75,535.170654296875,4903625,526.577505493164,496.6570013427734,1,0.0,NULL
2019-09-04,539.0,542.7999877929688,528.5999755859375,535.6500244140625,534.0739135742188,2330167,528.6425064086914,498.607001953125,1,0.0,NULL
2019-09-05,538.7999877929688,547.4000244140625,527.0,528.5,526.9449462890625,3656775,530.7100067138672,500.3750018310547,1,0.0,NULL
2019-09-06,531.9000244140625,536.0,528.0,529.9000244140625,528.3408203125,1641066,531.6000091552735,502.22300231933593,1,0.0,NULL
2019-09-09,534.0,539.75,529.2999877929688,530.9000244140625,529.337890625,3086676,532.2400115966797,504.00600280761716,1,0.0,NULL
2019-09-11,533.7000122070312,540.5,533.0,537.9000244140625,536.3172607421875,2505388,532.9900115966797,505.66100341796874,1,0.0,NULL
2019-09-12,539.9500122070312,545.9000244140625,536.2000122070312,537.8499755859375,536.2673950195312,1990091,533.5450103759765,507.13700317382813,1,0.0,NULL
2019-09-13,538.7000122070312,543.0,532.8499755859375,540.4000244140625,538.8099365234375,1414823,534.5975128173828,508.55500366210936,1,0.0,NULL
2019-09-16,537.0,540.0,533.5499877929688,537.6500244140625,536.0679931640625,1320333,535.630014038086,509.91200439453127,1,0.0,NULL
2019-09-17,538.5999755859375,538.5999755859375,524.0999755859375,530.7000122070312,529.138427734375,1952479,535.1575134277343,510.94100463867187,1,0.0,NULL
2019-09-18,533.8499755859375,540.0,533.0,539.0999755859375,537.5137329101562,1460223,535.8850128173829,511.9410040283203,1,0.0,NULL
2019-09-19,540.7000122070312,540.7000122070312,529.0999755859375,532.4500122070312,530.88330078125,1092159,536.1125122070313,513.115004272461,1,0.0,NULL
2019-09-20,536.0,567.0,536.0,563.8499755859375,562.1908569335938,8964556,537.7700103759765,515.1370037841797,1,0.0,NULL
2019-09-23,564.0,566.7000122070312,540.0,540.75,539.1588745117188,5216335,538.385009765625,516.8370037841797,1,0.0,NULL
2019-09-24,541.0999755859375,554.9500122070312,540.1500244140625,551.0499877929688,549.4285278320312,2548423,540.0775085449219,518.743003540039,1,0.0,NULL
2019-09-25,551.7999877929688,562.7000122070312,550.0999755859375,557.8499755859375,556.2085571289062,3790845,541.6500061035156,520.5440032958984,1,0.0,NULL
2019-09-26,556.9000244140625,577.0,556.4000244140625,569.2999877929688,567.6248779296875,4460160,542.3550048828125,522.2950030517578,1,0.0,NULL
2019-09-27,567.0999755859375,585.5999755859375,567.0999755859375,582.2999877929688,580.5866088867188,3937172,544.0850036621093,524.1190026855469,1,0.0,NULL
2019-09-30,585.0,609.0,585.0,601.1500244140625,599.3811645507812,5522478,547.057504272461,526.3210034179688,1,0.0,NULL
2019-10-01,604.2000122070312,608.0,590.3499755859375,598.2000122070312,596.4398193359375,3176809,549.1100036621094,528.3420037841797,1,0.0,NULL
