Date,Open,High,Low,Close,Adj Close,Volume,MA_20,MA_50,SHORT_GR_LONG,Signal,Buy & Sell
2019-08-05,261.1499938964844,265.3999938964844,260.29998779296875,262.0,257.7918395996094,3832734,263.89250030517576,278.3329998779297,0,,NULL
2019-08-06,262.0,262.70001220703125,257.79998779296875,258.8999938964844,254.74163818359375,3953226,263.5625,277.9009997558594,0,0.0,NULL
2019-08-07,259.0,264.25,259.0,262.54998779296875,258.3329772949219,3996033,263.3424987792969,277.4929992675781,0,0.0,NULL
2019-08-08,263.0,267.0,261.3500061035156,265.75,261.4816589355469,3625435,263.24249877929685,277.0939990234375,0,0.0,NULL
2019-08-09,266.0,268.70001220703125,262.8500061035156,263.5,259.26776123046875,3530499,263.4699981689453,276.6039990234375,0,0.0,NULL
2019-08-13,264.8999938964844,264.8999938964844,258.0,258.5,254.34805297851562,2190450,263.3999984741211,276.04599914550784,0,0.0,NULL
2019-08-14,259.79998779296875,260.1000061035156,250.25,251.0500030517578,247.01771545410156,4353363,262.952498626709,275.2409994506836,0,0.0,NULL
2019-08-16,250.0,251.0,245.0500030517578,249.1999969482422,245.1974334716797,4972435,262.4324981689453,274.3499993896484,0,0.0,NULL
2019-08-19,250.3000030517578,253.1999969482422,250.0,252.10000610351562,248.0508575439453,2770076,261.58249816894534,273.56199951171874,0,0.0,NULL
2019-08-20,253.3000030517578,259.1000061035156,252.1999969482422,253.3000030517578,249.2315673828125,7965121,261.01249771118165,272.72699981689453,0,0.0,NULL
2019-08-21,253.5,254.89999389648438,251.10000610351562,252.39999389648438,248.34603881835938,3413265,260.3924980163574,271.8329995727539,0,0.0,NULL
2019-08-22,252.0,253.5,248.5,252.0500030517578,248.0016632080078,3369902,259.76999816894534,270.9199993896484,0,0.0,NULL
2019-08-23,252.9499969482422,257.1000061035156,249.5500030517578,251.39999389648438,247.36209106445312,4896969,259.12999725341797,269.9879992675781,0,0.0,NULL
